"Part name","Quantity","Width mm","Length mm","Height mm","Mass kg","Material",
"Base","1","127,500","123,000","100,000","0,08403","ABS Plastic",
"Top","1","127,500","183,000","100,000","0,15301","ABS Plastic",
"USB Type-C Plug -2","2","12,550","7,100","50,150","0,01671","Steel",
"Google Coral USB","2","63,002","7,000","28,000","0,11424","Steel",
"(P) RESPEAKER MIC-3D v2.0","1","70,000","70,548","13,100","0,04613","Steel",
"Micro_USB_Plug-2013","1","11,575","6,572","43,500","0,01092","Steel",
"USB Plug Assembly","3","46,355","7,620","15,240","0,02582","Steel",
"heatsink-bottom","1","87,000","56,000","7,200","0,01676","Generic",
"heatsink-top","1","70,000","55,600","15,400","0,01608","Generic",
"Body","2","25,500","25,500","7,500","0,00313","PPS Plastic",
"25x25x10_fan","2","0","0","0","0,00000","",
"RPI4 Heatsink","1","0","0","0","0,00000","",
"(S) Raspberry Pi 4 Model B","1","88,990","19,900","58,400","0,10376","SOLIDWORKS Materials|Silicon, SOLIDWORKS Materials|5052-O, Steel, SOLIDWORKS Materials|AISI 304",
"95844A225_18-8 Stainless Steel Phillips Flat Head Screws for Metal","4","5,500","5,500","9,500","0,00036","Steel",
"94997A275_Phillips Rounded Head Screws for Sheet Metal","8","5,596","5,600","15,072","0,00063","Steel",
"94997A130_Phillips Rounded Head Screws for Sheet Metal","3","4,197","4,200","11,199","0,00027","Steel",
"92000A112_Passivated 18-8 Stainless Steel Pan Head Phillips Screws","4","4,997","4,997","27,029","0,00096","Steel",
"Fasteners","1","0","0","0","0,00000","",
